台灣彩券(彩菁投注站)	桃園市中壢區新中北路204號
台灣彩券(豪彩靈投注站)	桃園市龍潭區中正路124號
台灣彩券(贏很大彩券行)	新北市新店區中正路184號
台灣彩券(兆京樂彩投注站)	桃園市平鎮區平東路284號
台灣彩券(中信投注站)	台東縣台東市中山路353號
台灣彩券(好福祥投注站)	苗栗縣竹南鎮博愛街9號
台灣彩券(宜樺彩券行)	高雄市三民區十全二路90號
台灣彩券(佰億彩券行)	台中市南屯區向心南路952號
台灣彩券(幸運之星企業社)	基隆市暖暖區源遠路192號
運動彩券(力大運動彩券行)	台中市南屯區向上路一段690號
台灣彩券(豪彩靈投注站)	桃園市龍潭區中正路124號
台灣彩券(贏很大彩券行)	新北市新店區中正路184號
台灣彩券(兆京樂彩投注站)	桃園市平鎮區平東路284號
台灣彩券(中信投注站)	台東縣台東市中山路353號
台灣彩券(好福祥投注站)	苗栗縣竹南鎮博愛街9號
台灣彩券(宜樺彩券行)	高雄市三民區十全二路90號
台灣彩券(佰億彩券行)	台中市南屯區向心南路952號
台灣彩券(幸運之星企業社)	基隆市暖暖區源遠路192號
運動彩券(力大運動彩券行)	台中市南屯區向上路一段690號
台灣彩券(旺宏彩券行)	屏東縣潮州鎮新生路89之1號
台灣彩券(慶昌彩券行)	台東縣關山鎮和平路87之1號
台灣彩券(頭屋彩券行)	苗栗縣頭屋鄉中山街29號
台灣彩券(官鍋小吃店)	台北市松山區八德路四段699之2號
台灣彩券(大微企業社)	台北市萬華區中華路二段326號
台灣彩券(年年發彩券行)	台中市梧棲區中央路一段693號
台灣彩券(天天樂彩券行)	台南市東區東門路二段79號
台灣彩券(世裕彩券行)	桃園市桃園區慈文路421號
台灣彩券(佳良彩券行)	台北市文山區興隆路一段224號
運動彩券(全發運動彩券行)	台北市文山區木柵路一段258號
台灣彩券(尚順商行)	桃園市大園區大工路74號
台灣彩券(鄉親企業社)	新北市新莊區成功街1號
運動彩券(金如億商行)	宜蘭縣宜蘭市中山路二段386號
台灣彩券(元通盛彩券行)	台中市新社區興安路18之49號
台灣彩券(吉祥商行)	桃園市中壢區龍岡路三段118號
台灣彩券(財盈商行)	高雄市鹽埕區興華街30號
台灣彩券(億萬彩投注站)	南投縣南投市民生街58號
台灣彩券(兩全彩券行)	高雄市鳳山區中正路78號
台灣彩券(豪獎彩券行)	屏東縣潮州鎮興隆路201號
台灣彩券(彩連發樂透投注站)	苗栗縣銅鑼鄉中正路211號
台灣彩券(金旺商行)	台北市大同區重慶北路三段268號
台灣彩券(金銀島彩券行)	高雄市鳳山區青年路二段32之1號
台灣彩券(鑫旺來彩券行)	基隆市中山區西定路250號
台灣彩券(富貴彩券行)	高雄市鳳山區青年路二段476號
台灣彩券(鑫保彩券行)	高雄市左營區華夏路514號
台灣彩券(一定發彩券行)	台南市新化區信義路442之1號
台灣彩券(豐富彩券行)	彰化縣彰化市大埔路256號
運動彩券(全壘打運動彩券行)	高雄市鳳山區青年路二段32之1號
台灣彩券(伍捌彩券行)	台中市大甲區蔣公路98號
運動彩券(喜來發彩券舖)	南投縣南投市中山街282號
台灣彩券(振興文具行)	台南市六甲區民生街34之1號
台灣彩券(財星社)	宜蘭縣宜蘭市復興路一段63號
運動彩券(動來發彩券行)	桃園市桃園區民生路277號
台灣彩券(連中商行)	高雄市鳳山區南江街117巷47號
台灣彩券(財寶投注站)	高雄市鹽埕區五福四路223號
台灣彩券(大鶯歌彩券行)	新北市鶯歌區中正一路105號
運動彩券(奧林匹克運動彩券商行)	台北市中正區武昌街一段36號
